规范中文名,规范日文名,IP来源,是否纳入日本主分析,匹配别名
假面骑士,仮面ライダー,日本,是,仮面ライダー|假面骑士|フォーゼ|ヒューマギア|オートバジン|カブト|グリス|サイドバッシャー|ジェットストライカー|ジオウ|モグラアマゾン
数码宝贝,デジモン,日本,是,デジモン|DIGIMON|デジヴァイス|デジモンアドベンチャー LAST EVOLUTION|デジタルモンスター|数码宝贝|ホーリーエンジェモン|テイルモン|八神ヒカリ|アグモン|Agumon|亚古兽|エンジェモン|天使兽|ウォーグレイモン|战龙兽|アルケニモン|アーマゲモン|エンジェウーモン|オメガモン|ガルルモン|サクヤモン|チンロンモン|テリアモン|デュークモン|バステモン|パイルドラモン|パタモン|フレイドラモン|ベルゼブモン|マグナモン|マミーモン|ワーガルルモン
新世纪福音战士,エヴァンゲリオン,日本,是,エヴァンゲリオン|ヱヴァンゲリヲン|EVANGELION|エヴァンゲリヲン新劇場版|式波・アスカ・ラングレー|新世紀エヴァンゲリオン|新世纪福音战士|EVANGELIONPRIMOSTYLE|EVANGELION PRIMO STYLE|ぷちえうぁ|綾波レイ|碇シンジ|惣流・アスカ・ラングレー|One Last Kiss
Fate系列,Fateシリーズ,日本,是,FATE|FATEシリーズ|FGO|FATEGRANDORDER|FATE/GRAND ORDER|フェイト/グランドオーダー|プリズマ☆イリヤ|遠坂凛|Fate/staynight|Fate/hollowataraxia|Fate/stay night|カーニバル・ファンタズム|Carnival Phantasm|CarnivalPhantasm|Fateシリーズ|Fate系列|タイガーころしあむ|タイガーころしあむアッパー|FateFantasm|フェイト/タイガーころしあむアッパー|Fate/GrandOrder|Fate/Grand Order|Fate/zero|Fate/Zero|フェイト/ステイナイト|セイバー 休日|アビゲイル・ウィリアムズ|アルトリア・ペンドラゴン［リリィ］|クー・フーリン［オルタ］|ケツァル・コアトル|マシュ・キリエライト|レオナルド・ダ・ヴィンチ|柳生但馬守宗矩|玉藻の前|謎のヒロインX［オルタ］
传说系列,テイルズ オブ,日本,是,テイルズ オブ|テイルズオブ|テイルズ|テイルズ オブ ゼスティリア|テイルズオブゼスティリア|Tales of Zestiria|传说系列泽斯提利亚|传说系列|TALESOFASTERIA|Tales of Asteria|TalesofMagic|Tales of Magic|ユーリ・ローウェル|ミクリオ
宝可梦,ポケットモンスター,日本,是,ポケットモンスター|ポケモン|POKÉMON|POKEMON|宝可梦|PokemonLEGENDS|Pokemon LEGENDS|Pokémon LEGENDS|アルセウス|ルビー サファイア エメラルド|ピカチュウ|皮卡丘|モクロー|木木枭|Mディアンシー|アオギリ|アクロマ|アズサ|イリマ|ウツギ博士|エアームド|エンニュート|オダマキ|オニオン|オリーヴ|カイリキー|カヒリ|カミツレ|カルネ|ガオガエン|ガチゴラス|キュレム|キルリア|ギャラドス|クチート|グズマ|グラジオ|ゲンガー|ゲンシカイオーガ|ゲンシグラードン|ゲーチス|サカキ|サーナイト|ジバコイル|スカル団|ティエルノ|テテフ|ディアンシー|ナツメ|ハガネール|ハッサム|バシャーモ|バンギラス|ビッケ|フウとラン|フウロ|フラダリ|フラージェス|フレア団|ブラックキュレム|プテラ|プルメリ|ヘルガー|ホワイトキュレム|ボスゴドラ|ボルトロス|ポプラ|マツバ|マツブサ|マリィ|マーマネ|ミツル|メタグロス|モノマネむすめ|ヤロー|ラグラージ|リーリエ|ルザミーネ|ロイヤルマスク|ロケット団
名侦探柯南,名探偵コナン,日本,是,名探偵コナン|江戸川コナン|怪盗キッド|安室透|赤井秀一|名侦探柯南|名探偵　コナン|遠山和葉
黄金神威,ゴールデンカムイ,日本,是,ゴールデンカムイ|鯉登音之進|鯉登少尉|月島基
奥特曼,ウルトラマン,日本,是,ウルトラマン|ULTRAMAN|奥特曼|DXウルトラ対決セット2|ULTRA-ACT|ULTRA ACT|ウルトラゼロファイト|ウルトラゼロ|ウルトラセブン|ウルトラ怪獣名鑑|ウルトラシリーズ|ウルトラデザイン|大怪獣ラッシュ|バルタンバトラー|ウインダム|ウルトラの父|ガラモン|ゼットン|ダークザギ|バルタン星人|ヒッポリト星人
原神,原神,中国,否,原神|GENSHIN|Genshin Impact|神里綾華|神里綾人|楓原万葉|珊瑚宮心海|鹿野院平蔵|タルタリヤ|ウェンティ|アルベド|パイモン|鍾離|刻晴|甘雨|宵宮|煙緋|ディオナ|スクロース|行秋|雷電将軍|八重神子|胡桃
魔法少女小圆,魔法少女まどか☆マギカ,日本,是,魔法少女まどか|まどか☆マギカ|劇場版まどか|叛逆の物語|暁美ほむら|鹿目まどか|まどマギ
初音未来/VOCALOID,初音ミク/VOCALOID,日本,是,初音ミク|VOCALOID|鏡音リン|鏡音レン|巡音ルカ|KAITO|MEIKO|ボーカロイドシリーズ|初音未来|SNOW MIKU|初音ミク/VOCALOID|レーシングミク|ボーカロイド|Hatsune Miku|ボカロ
无双系列,無双シリーズ,日本,是,真・三國無双|真・三国無双|戦国無双|無双OROCHI|真三國無双|真三国无双|無双☆スターズ|無双スターズ|無双シリーズ|无双系列|無双フェスティバル|三國無双|三国無双|夏侯覇|郭嘉|荀彧|曹丕|周瑜|孫策|夏侯惇|満寵|司馬師|陸遜|星彩|趙雲|真田信之
Z/X,Z/X,日本,是,ゼクス|Z/X
迪士尼,ディズニー,欧美,否,ディズニー|DISNEY|ミッキーマウス|ドナルドダック
机动战士高达,機動戦士ガンダム,日本,是,機動戦士ガンダム|ガンダム|GUNDAM|高达|机动战士高达|FWGUNDAMCONVERGE|GUNDAM CONVERGE|FW GUNDAM CONVERGE
