一级分类,二级分类,三级分类,日文/英文名称,学术定位,说明/备注,代购场景备注
内容本体,印刷出版物,漫画单行本,Manga Tankōbon,Primary Text / Core Content,叙事核心；代购常买中古全套或限定版,煤炉/骏河屋/日亚
内容本体,印刷出版物,杂志/切页,Anime Magazine / 切り抜き,Primary Text / Core Content,Animege/Newtype/Animedia；切页=只切特定角色页面出售,煤炉/骏河屋
内容本体,音像制品,动画 BD/DVD,Blu-ray Disc / DVD,Primary Text / Core Content,高清内容+特典捆绑；先发版含OVA/CD/设定集,日亚/煤炉
内容本体,印刷出版物,轻小说,Light Novel,Primary Text / Core Content,文字为主+插画；Web版→文库版→动画化的上游IP,日亚/煤炉
内容本体,数字内容,游戏本体,Game Software,Primary Text / Core Content,NS/PS/PC游戏卡带或光盘；含同人游戏（蜜瓜主力）,日亚/蜜瓜/煤炉
内容本体,数字内容,流媒体/数字订阅,Streaming Subscription,Primary Text / Core Content,B站/Netflix大会员；日本平台如dアニメストア,—
同人/二次创作,同人出版物,同人本,Dōjinshi,Fan-produced Content,同人漫画/小说；蜜瓜/虎穴/Comiket场贩；分全年龄/R18,蜜瓜/煤炉/场贩
同人/二次创作,同人出版物,同人音乐CD,Dōjin Music CD,Fan-produced Content,Vocaloid/东方等同人音乐；蜜瓜常见,蜜瓜/煤炉
同人/二次创作,同人制品,同人谷,Dōjin Goods,Fan-produced Content,社团自印吧唧/立牌/拍立得；设计自由，限量,蜜瓜/Comiket场贩
同人/二次创作,同人活动,Cosplay服装道具,Cosplay,Fan-produced Content,角色扮演服装；日本C服品牌如ACOS,日亚/煤炉
同人/二次创作,同人服务,委托约稿/开团/代拍,Commission / Group Order,Fan-produced Content,中国团长组织日本代购；含转单/拼团/代拍,全平台
衍生周边,谷子-徽章类,吧唧,Can Badge / 缶バッジ,Secondary Goods / Merchandise,马口铁徽章；煤炉高频，常set/盘出；分普/闪/大/Q版,煤炉/骏河屋/日亚
衍生周边,谷子-立牌类,立牌/立卡,Acrylic Stand,Secondary Goods / Merchandise,亚克力立牌；煤炉常搜'アクスタ',煤炉/日亚
衍生周边,谷子-立牌类,亚克力砖,Acrylic Block,Secondary Goods / Merchandise,厚亚克力方块，摆阵高级感强,日亚/煤炉
衍生周边,谷子-立牌类,流沙麻将/流麻,Liquid Quicksand Acrylic,Secondary Goods / Merchandise,内封流沙油，晃动视觉效果；Z世代摆阵顶流,日亚
衍生周边,谷子-纸片类,拍立得/相卡/生写,Bromide,Secondary Goods / Merchandise,仿拍立得纸质卡片；盲抽居多；分普卡/签卡,日亚/煤炉
衍生周边,谷子-纸片类,色纸,Shikishi,Secondary Goods / Merchandise,带金边硬质签名板，覆闪膜；直笔色纸=高价值签名版,日亚/煤炉
衍生周边,谷子-纸片类,特典,Tokuten / Store Bonus,Secondary Goods / Merchandise,店铺特典纸片。标题只有「特典」、没有明信片/小卡/生写等更细词时用这一级。特典CD仍走音乐CD。写着特典なし的不算。,全平台
衍生周边,谷子-纸片类,明信片,Postcard,Secondary Goods / Merchandise,常规明信片；常作为特典或套装发售,日亚/煤炉
衍生周边,谷子-纸片类,镭射票/票根,Hologram Ticket Card,Secondary Goods / Merchandise,仿演唱会门票样式，带镭射工艺,日亚
衍生周边,谷子-纸片类,小卡,Photocard,Secondary Goods / Merchandise,信用卡大小收藏卡；获取：专卡/特典卡/随机卡包/自印,日亚/煤炉
衍生周边,谷子-纸片类,透卡,Clear Card,Secondary Goods / Merchandise,透明PVC卡片，可叠加背景拍照,日亚/煤炉
衍生周边,谷子-纸片类,塔罗牌/艺术卡,Art Card / Tarot,Secondary Goods / Merchandise,大尺寸插画收藏卡，偏艺术/装饰性,日亚
衍生周边,谷子-纸片类,杯垫,Coaster,Secondary Goods / Merchandise,餐饮联动特典，二手市场流通极高,煤炉/骏河屋
衍生周边,谷子-挂件类,亚克力挂件,Acrylic Keyholder,Secondary Goods / Merchandise,钥匙扣/包挂，可随身携带展示,日亚/煤炉
衍生周边,谷子-挂件类,橡胶挂件,Rubber Strap,Secondary Goods / Merchandise,ラバスト，软胶材质，Q版造型为主,日亚/煤炉
衍生周边,谷子-挂件类,金属挂件,Metal Charm,Secondary Goods / Merchandise,金属材质，质感较重，常作限定,日亚
衍生周边,谷子-挂件类,根付/挂件,Netsuke / Charm,Secondary Goods / Merchandise,根付，或标题只写挂件/チャーム、没写亚克力/橡胶/金属时用。,日亚/煤炉
衍生周边,谷子-毛绒类,团子,Mochi Mascot,Secondary Goods / Merchandise,圆滚滚馒头状毛绒挂件，可挂痛包,日亚/煤炉
衍生周边,谷子-毛绒类,趴趴,Nesoberi / 寝そべり,Secondary Goods / Merchandise,趴姿扁平毛绒，可叠放摆阵,日亚/煤炉
衍生周边,谷子-毛绒类,努努,Nui / 指の上シリーズ,Secondary Goods / Merchandise,坐姿小型毛绒，可放手指上，可挂包,日亚/煤炉
衍生周边,谷子-实用展示类,文件夹,Clear File,Secondary Goods / Merchandise,A4透明文件夹，日本销量最高品类,日亚/煤炉
衍生周边,谷子-实用展示类,海报/挂毯,Tapestry,Secondary Goods / Merchandise,布质挂毯（可卷收）或纸质海报,日亚
衍生周边,谷子-实用展示类,冰箱贴,Magnet,Secondary Goods / Merchandise,磁吸装饰，旅游联动常见,日亚
